"Training and Placement Cell, MANIT, BHOPAL",,,,,,,,,,,,,,,
Session 2024-25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Recruiter,Offer Type,,,,,,,,,,,,,PKG (LPA)
,,,Civil,EE,ME,ECE,CSE,MDS,MME,Chem,B.Tech.,B.Arch.,B.Plan,TOTAL,
,,,108,129,204,169,238,29,68,74,578,84,42,704,
July 2024,Infosys,FTE,,1,,,,,,,1,,,1,₹9.50
July 2024,Zomato,6M + FTE,0,0,0,1,1,0,,0,2,,,2,₹56.00
July 2024,Microsoft,PPO,,,,,10,,,,10,,,10,₹52.50
July 2024,Google,FTE,,0,,0,4,,,,4,,,4,₹55.00
July 2024,Goldman Sachs,PPO,,,,1,1,,,,2,,,2,₹30.00
July 2024,Meesho (SDE),6M + FTE,,,,2,2,,,,4,,,4,₹34.00
July 2024,Meesho (BA),6M + FTE,,,,1,,2,,,3,,,3,₹21.00
July 2024,Bajaj Auto,FTE,,2,,,,,,,2,,,2,₹11.75
July 2024,Texas Instruments (SDE),PPO,,,,,3,,,,3,,,3,₹38.52
July 2024,Flipkart,PPO,,,,,1,,,,1,,,1,₹32.00
July 2024,Futures First,6M,0,0,1,1,2,0,1,0,5,0,0,5,₹13.65
July 2024,Texas Instruments (SDE),FTE,,0,,0,2,0,,,2,,,2,₹38.52
July 2024,Texas Instruments (ItOps),6M,,,,,,,,,0,,,0,₹17.16
August 2024,Bajaj Auto,PPO,,1,,,,,,,1,,,1,₹11.75
August 2024,Siemens EDA,6M,,0,,2,8,0,,,10,,,10,₹24.00
August 2024,Piramal,6M + FTE,0,3,0,1,1,1,,1,7,,,7,₹12.54
August 2024,FICO,6M + FTE,,,,,,,,,0,,,0,₹9.00
August 2024,MSCI,6M,,1,,1,2,0,,,4,,,4,₹15.00
August 2024,Oracle,6M + FTE,,,,,4,,,,4,,,4,₹33.25
August 2024,Mondelez,PPO,,,1,,,,,,1,,,1,₹12.50
August 2024,Paypal,PPO,,,,,3,1,,,4,,,4,₹34.00
August 2024,Cisco,PPO,,,,1,3,,,,4,,,4,₹24.00
August 2024,HPCL,FTE,,,1,,2,,,,3,,,3,₹17.37
August 2024,Axxela,6M,0,2,1,0,1,0,1,1,6,0,1,7,₹14.10
August 2024,ProcDNA,6M + FTE,,,,,,,,,0,,,0,₹16.10
August 2024,Flipkart Neev,6M,1,2,7,1,,1,2,,14,,,14,₹13.52
August 2024,EatClub,6M + FTE,0,0,0,0,0,0,0,0,0,,,0,₹22.00
August 2024,Siemens PLM,6M,,,,,2,,,,2,,,2,₹14.00
August 2024,Warner Bros Discovery,PPO,,,,,1,,,,1,,,1,₹25.00
August 2024,Verisk Analytics,6M + FTE,,,,,5,,,,5,,,5,₹15.00
August 2024,Clarity,6M,1,0,0,0,0,1,0,0,2,,,2,₹15.00
